Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost SAH average,Compute cost PAH average count,Compute cost SAH average count,Choose split plane PAH average,Choose split plane SAH average,Choose split plane PAH average count,Choose split plane SAH average count
Wood_Plane_45_Full,323.4100036621094,229.9356231689453,326.68927001953125,244.83700561523438,314.9241943359375,238.04299926757813,39.21598434448242,0.699999988079071,0.7718437910079956,0.8178128600120544,0.8193074464797974,0.8183034062385559,0.8104100227355957,0.811355471611023,26,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,139.9757537841797,32.47863006591797,32.625640869140625,66.06138610839844,1.9182848930358887,2.7507283687591553,1.7200157642364502,1.545454502105713
Wood_Point_Parallel_Full,70.76751708984375,88.32343292236328,91.84986877441406,58.54999923706055,80.18202209472656,51.74700164794922,28.598037719726563,0.5920000076293945,0.6846586465835571,0.6795891523361206,0.6832208633422852,0.7642415761947632,0.7976179718971252,0.800603985786438,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,513.6019897460938,32.39949417114258,51.868080139160156,66.06138610839844,2.4316165447235107,2.7836334705352783,1.4685325622558594,1.545454502105713
SuzannePlane15_Full,48.604644775390625,43.14512634277344,54.84836196899414,35.29999923706055,48.12919616699219,31.46299934387207,19.034564971923828,0.6470000147819519,0.48773282766342163,0.5362396240234375,0.5492411255836487,0.6142784357070923,0.6245167255401611,0.6245167255401611,16,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,107.3428726196289,6.231194019317627,64.82227325439453,88.4823989868164,0.29080113768577576,0.3050009608268738,1.343683123588562,1.1759834289550781
Random1000_Plane_Parallel_Full,60.47036361694336,91.44149780273438,77.56360626220703,48.71900177001953,59.73204803466797,38.46900177001953,81.05269622802734,0.7799999713897705,0.32903537154197693,0.39162078499794006,0.5072521567344666,0.5676765441894531,0.5713972449302673,0.5713972449302673,13,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,72.78776550292969,6.152687072753906,55.75175094604492,85.61561584472656,0.2059015929698944,0.2784014046192169,1.2032032012939453,1.0020020008087158
SuzannePlane45_Full,59.6014289855957,53.73941421508789,67.95877838134766,42.5099983215332,59.45277404785156,37.62699890136719,19.071752548217773,0.5540000200271606,0.5467658638954163,0.5730094909667969,0.6231180429458618,0.6420126557350159,0.6477482318878174,0.6479127407073975,18,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,35.87673568725586,6.112095355987549,34.074317932128906,88.4823989868164,0.2779013514518738,0.2984008491039276,1.4098360538482666,1.1759834289550781
Crowd_Point_Oblique_Full,25.084383010864258,88.72673797607422,46.065555572509766,26.18400001525879,45.32716369628906,25.812000274658203,1.2841739654541016,0.42500001192092896,0.4956432282924652,0.49066847562789917,0.4780641198158264,0.4836725890636444,0.6143224239349365,0.6869056820869446,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,5115.78466796875,357.2704772949219,55.93110275268555,87.7052230834961,17.980907440185547,18.14761734008789,1.3280811309814453,1.1881141662597656
Crowd_Point_Parallel_Full,38.27827835083008,112.88126373291016,57.34383773803711,32.61800003051758,51.84148025512695,29.850000381469727,12.013973236083984,0.5419999957084656,0.3071286678314209,0.3321895897388458,0.36092042922973633,0.39687681198120117,0.5320160388946533,0.6053856611251831,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,5076.87744140625,351.13970947265625,57.6235237121582,87.7052230834961,18.03181266784668,17.708335876464844,1.3184071779251099,1.1881141662597656
Cottage_Plane_Oblique_Full,145.53565979003906,108.32929229736328,148.42593383789063,92.1709976196289,144.96432495117188,89.89399719238281,38.0395622253418,0.9089999794960022,0.8209103345870972,0.8579934239387512,0.835412323474884,0.8291403651237488,0.8435313105583191,0.8442064523696899,23,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,133.2664031982422,19.438743591308594,41.63100814819336,65.87432861328125,1.2771896123886108,1.8608847856521606,1.795870065689087,1.7425718307495117
Cottage_Plane_Parallel_Full,64.9155502319336,77.08483123779297,82.52836608886719,58.72800064086914,64.73417663574219,46.810001373291016,69.50936889648438,0.7440000176429749,0.7074266076087952,0.7793671488761902,0.7806482315063477,0.8614773154258728,0.8699795603752136,0.8702956438064575,23,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,177.37464904785156,19.504440307617188,64.8631591796875,65.87432861328125,0.7267987728118896,1.8488856554031372,1.6050525903701782,1.7425718307495117
Random100_Point_45_Full,19.81963539123535,25.57347297668457,38.36041259765625,20.65999984741211,21.02640151977539,11.369999885559082,19.23866081237793,0.0989999994635582,0.4513958990573883,0.5242626070976257,0.512032151222229,0.509885311126709,0.509885311126709,0.509885311126709,9,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,8.847101211547852,0.5657998919487,39.35353469848633,77.1919174194336,0.033599983900785446,0.028399979695677757,1.0303030014038086,1.0
Random100_Point_Parallel_Full,16.79997444152832,21.22040367126465,33.00728988647461,18.107999801635742,16.893653869628906,9.361000061035156,17.98398780822754,0.10400000214576721,0.20034810900688171,0.3311794698238373,0.33913570642471313,0.3393358290195465,0.3393358290195465,0.3393358290195465,9,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,11.742203712463379,0.5487996935844421,55.9595947265625,77.1919174194336,0.030499974265694618,0.030099978670477867,1.0,1.0
Crowd_Point_15_Full,35.729183197021484,135.21685791015625,56.37347412109375,31.405000686645508,50.59710693359375,28.493000030517578,10.260035514831543,0.43700000643730164,0.3119892179965973,0.3245745301246643,0.3860107362270355,0.43301352858543396,0.5793974995613098,0.6643403768539429,26,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,4548.59619140625,351.3977966308594,53.228187561035156,87.7052230834961,17.924272537231445,17.739665985107422,1.3269193172454834,1.1881141662597656
